System,Year,PdxnYear,PdxnYearBH,RepYear,Popn,ID,Geno,Rep,Rep_ID,Breeding_hist,Cross,Seed_Color,SeedWT_per_Plant_Grams,DTG,GermPercent,Cotyledon_Color,Vigor,DT50%F,100_SW,Taproot_Diameter,BR_1_Diameter,BR_2_Diameter,Branching_Density,Disease_Rating
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-1,B,10,B10,1,B10_1,Conventional,ORBV,Pigmented,37.84,NA,1,NA,NA,40,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-2,B,10,B10,2,B10_2,Conventional,ORBV,Pigmented,29.78286429,NA,0.92,NA,NA,40,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-3,B,10,B10,3,B10_3,Conventional,ORBV,Pigmented,NA,NA,1,NA,NA,39,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-1,B,101,B101,1,B101_1,Conventional,ORBV,Pigmented,35.74000714,NA,1,NA,NA,41,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-2,B,101,B101,2,B101_2,Conventional,ORBV,Pigmented,41.94666667,NA,1,NA,NA,40,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-3,B,101,B101,3,B101_3,Conventional,ORBV,Pigmented,NA,NA,0.96,NA,NA,40,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-1,B,105,B105,1,B105_1,Conventional,ORBV,Pigmented,24.08116471,NA,0.96,NA,NA,44,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-2,B,105,B105,2,B105_2,Conventional,ORBV,Pigmented,23.38998333,NA,0.96,NA,NA,42,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-3,B,105,B105,3,B105_3,Conventional,ORBV,Pigmented,NA,NA,1,NA,NA,41,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-1,B,111,B111,1,B111_1,Conventional,ORBV,Pigmented,25.54715,NA,0.96,NA,NA,43,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-2,B,111,B111,2,B111_2,Conventional,ORBV,Pigmented,24.66,NA,1,NA,NA,41,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-3,B,111,B111,3,B111_3,Conventional,ORBV,Pigmented,NA,NA,0.96,NA,NA,42,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-1,B,116,B116,1,B116_1,Conventional,ORBV,White,31.51333333,NA,0.96,NA,NA,40,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-2,B,116,B116,2,B116_2,Conventional,ORBV,White,34.08666667,NA,0.96,NA,NA,41,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-3,B,116,B116,3,B116_3,Conventional,ORBV,White,NA,NA,0.92,NA,NA,40,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-1,B,117,B117,1,B117_1,Conventional,ORBV,Pigmented,26.45333333,NA,0.92,NA,NA,43,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-1,B,117,B117,1,B117_1,Conventional,ORBV,Pigmented,26.45333333,NA,0.88,NA,NA,43,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-2,B,117,B117,2,B117_2,Conventional,ORBV,Pigmented,30.46857857,NA,0.96,NA,NA,41,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-3,B,117,B117,3,B117_3,Conventional,ORBV,Pigmented,NA,NA,0.92,NA,NA,44,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-1,B,119,B119,1,B119_1,Conventional,ORBV,Pigmented,35.58666667,NA,0.92,NA,NA,41,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-2,B,119,B119,2,B119_2,Conventional,ORBV,Pigmented,36.03999375,NA,0.92,NA,NA,41,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-3,B,119,B119,3,B119_3,Conventional,ORBV,Pigmented,NA,NA,1,NA,NA,40,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-1,B,12,B12,1,B12_1,Conventional,ORBV,Pigmented,29.16143571,NA,0.8,NA,NA,43,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-2,B,12,B12,2,B12_2,Conventional,ORBV,Pigmented,15.7066381,NA,0.88,NA,NA,43,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-3,B,12,B12,3,B12_3,Conventional,ORBV,Pigmented,NA,NA,0.92,NA,NA,43,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-1,B,120,B120,1,B120_1,Conventional,ORBV,Pigmented,29.67572143,NA,0.84,NA,NA,41,NA,NA,NA,NA,NA,NA
